service_id,date,exception_type
"T0","20170612","2"
"T0_1","20170612","2"
"T0_11","20170612","2"
"T0_12","20170612","2"
"T0_15","20170612","2"
"T0_16","20170612","2"
"T0_17","20170612","2"
"T0_19","20170612","2"
"T0_20","20170612","2"
"T0_3","20170612","2"
"T0_4","20170612","2"
"T0_5","20170612","2"
"T0_6","20170612","2"
"T0_7","20170612","2"
"T0_8","20170612","2"
"T0+a5","20170612","2"
"T0+pz","20170612","2"
"UW","20170515","2"
"UW","20170522","2"
"UW","20170529","2"
"UW","20170605","2"
"UW","20170619","2"
"UW","20170626","2"
"UW","20170703","2"
"UW","20170710","2"
"UW","20170717","2"
"UW_1","20170515","2"
"UW_1","20170522","2"
"UW_1","20170529","2"
"UW_1","20170605","2"
"UW_1","20170619","2"
"UW_1","20170626","2"
"UW_1","20170703","2"
"UW_1","20170710","2"
"UW_1","20170717","2"
"UW_10","20170515","2"
"UW_10","20170522","2"
"UW_10","20170529","2"
"UW_10","20170605","2"
"UW_10","20170619","2"
"UW_10","20170626","2"
"UW_10","20170703","2"
"UW_10","20170710","2"
"UW_10","20170717","2"
"UW_11","20170515","2"
"UW_11","20170522","2"
"UW_11","20170529","2"
"UW_11","20170605","2"
"UW_11","20170619","2"
"UW_11","20170626","2"
"UW_11","20170703","2"
"UW_11","20170710","2"
"UW_11","20170717","2"
"UW_12","20170605","2"
"UW_12","20170619","2"
"UW_2","20170529","2"
"UW_2","20170605","2"
"UW_2","20170619","2"
"UW_2","20170626","2"
"UW_2","20170703","2"
"UW_2","20170710","2"
"UW_2","20170717","2"
"UW_3","20170605","2"
"UW_3","20170619","2"
"UW_3","20170626","2"
"UW_3","20170703","2"
"UW_3","20170710","2"
"UW_3","20170717","2"
"UW_4","20170515","2"
"UW_4","20170522","2"
"UW_4","20170529","2"
"UW_4","20170605","2"
"UW_4","20170619","2"
"UW_4","20170626","2"
"UW_4","20170703","2"
"UW_4","20170710","2"
"UW_4","20170717","2"
"UW_5","20170515","2"
"UW_5","20170522","2"
"UW_5","20170529","2"
"UW_5","20170605","2"
"UW_5","20170619","2"
"UW_5","20170626","2"
"UW_5","20170703","2"
"UW_5","20170710","2"
"UW_5","20170717","2"
"UW_6","20170515","2"
"UW_6","20170522","2"
"UW_6","20170529","2"
"UW_6","20170605","2"
"UW_6","20170619","2"
"UW_6","20170626","2"
"UW_6","20170703","2"
"UW_6","20170710","2"
"UW_6","20170717","2"
"UW_7","20170515","2"
"UW_7","20170522","2"
"UW_7","20170529","2"
"UW_7","20170605","2"
"UW_7","20170619","2"
"UW_7","20170626","2"
"UW_7","20170703","2"
"UW_7","20170710","2"
"UW_7","20170717","2"
"UW_8","20170515","2"
"UW_8","20170522","2"
"UW_8","20170529","2"
"UW_8","20170605","2"
"UW_8","20170619","2"
"UW_8","20170626","2"
"UW_8","20170703","2"
"UW_8","20170710","2"
"UW_8","20170717","2"
"UW_9","20170515","2"
"UW_9","20170522","2"
"UW_9","20170529","2"
"UW_9","20170605","2"
