route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"6-G32-mjp-1","T0","3665.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3668.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3671.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3674.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3677.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","4827.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","4829.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3679.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","4359.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3664.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3666.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3667.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3669.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3670.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3672.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3673.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3675.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3676.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3678.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3680.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3681.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","4828.T0.6-G32-mjp-1.1.H","6-G32-mjp-1.1.H","Geelong Station","0"
"6-G32-mjp-1","T0","3896.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3897.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3898.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3899.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3900.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3901.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3902.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3903.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3904.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3905.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3906.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3908.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3909.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3910.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","4437.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","4439.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","4443.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","4699.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","4703.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G32-mjp-1","T0","3907.T0.6-G32-mjp-1.2.R","6-G32-mjp-1.2.R","Leopold","1"
"6-G40-mjp-1","T0","3797.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3804.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3796.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3798.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3800.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3801.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3803.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3805.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","3806.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","4363.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
"6-G40-mjp-1","T0","4365.T0.6-G40-mjp-1.1.H","6-G40-mjp-1.1.H","Geelong Station","0"
